,outward_code_x,dist_centres,distance,OrderID,WebsiteID,OrderDate,Status,PaymentOption,Courier,ProductsExVAT,DeliveryExVAT,DateDespatched,DeliveryCost,country,Weight_per_line,Volume_per_line_m3,Pallet_per_line,id,outcode,latitude,longitude
0,DY6,Midlands,26.84,2295440,7700,2023-04-18 15:16:50.030,Dispatched,On Account,MFS,375.4,0.0,2023-04-18,34.46,United Kingdom,110.0,0.22499999999999998,0.2,766,DY6,52.496759,-2.173682
1,OX18,Midlands,43.04,2292996,9759,2023-04-16 20:47:47.493,Dispatched,Payment Gateway,DX Freight,148.41,0.0,2023-04-17,14.77,United Kingdom,29.24,0.219678,0.20002499999999998,1934,OX18,51.767526,-1.582311
2,CV5,Midlands,2.34,2285048,13038,2023-04-05 10:58:30.303,Dispatched,Payment Gateway,DX Freight,170.94,0.0,2023-04-05,14.45,United Kingdom,28.5,0.04406,0.04432291666666667,597,CV5,52.424186,-1.562449
3,WS15,Midlands,29.8,2297608,15160,2023-04-20 11:31:32.320,Dispatched,On Account,DX Express,42.26,7.17,2023-04-20,6.76,United Kingdom,8.56,0.053674,0.028439153439153438,2915,WS15,52.765303,-1.911238
4,MK1,Midlands,44.21,2281052,16152,2023-03-31 14:07:41.883,Dispatched,On Account,DX Freight,124.36,0.0,2023-03-31,22.28,United Kingdom,48.74,0.09062857142857143,0.05952380952380953,1664,MK1,52.006042,-0.726102
5,NG8,Midlands,42.25,2296541,16936,2023-04-19 13:22:10.790,Dispatched,On Account,DX Express,120.43,0.0,2023-04-19,8.62,United Kingdom,25.009999999999998,0.110824,0.10513468013468014,1820,NG8,52.964498,-1.213406
6,GL54,Midlands,37.69,2283262,19273,2023-04-03 22:19:06.033,Dispatched,On Account,DX Freight,168.7,0.0,2023-04-04,23.83,United Kingdom,52.480000000000004,0.2971533333333333,0.2433015873015873,1029,GL54,51.880284,-1.875728
7,GL54,Midlands,37.69,2286006,19273,2023-04-05 23:35:16.033,Dispatched,On Account,DX Freight,108.36,0.0,2023-04-06,16.38,United Kingdom,33.35,0.24691333333333335,0.15396825396825395,1029,GL54,51.880284,-1.875728
8,LE7,Midlands,30.13,2291049,24283,2023-04-13 12:51:04.870,Dispatched,On Account,DX Freight,315.25,0.0,2023-04-13,31.33,United Kingdom,87.4,0.15159999999999998,0.14222222222222222,1473,LE7,52.677164,-1.020786
9,CV21,Midlands,8.72,2283634,27428,2023-04-04 10:46:48.757,Dispatched,Payment Gateway,DX Express,44.78,7.2,2023-04-04,6.79,United Kingdom,8.0,0.014,0.007246376811594203,584,CV21,52.347041,-1.366452
10,DE14,Midlands,28.46,2298194,31283,2023-04-20 16:00:54.450,Dispatched,On Account,DX Express,107.01,19.99,2023-04-20,8.93,United Kingdom,26.94,0.11495,0.0986850845410628,648,DE14,52.800485,-1.6229
11,GL7,Midlands,47.34,2285193,32070,2023-04-05 12:02:54.233,Dispatched,Payment Gateway,DX Freight,685.44,0.0,2023-04-05,37.66,United Kingdom,88.08,0.278136,0.1527777777777778,1033,GL7,51.729745,-1.855955
12,GL7,Midlands,47.34,2292551,32070,2023-04-14 15:53:12.487,Dispatched,Payment Gateway,DX Freight,199.2,0.0,2023-04-14,37.11,United Kingdom,88.0,0.784,0.8333333333333334,1033,GL7,51.729745,-1.855955
13,LE9,Midlands,17.7,2277868,34120,2023-03-29 03:08:53.607,Dispatched,Payment Gateway,DX Express,105.74,0.0,2023-03-29,7.43,United Kingdom,21.68,0.19023,0.1875,1476,LE9,52.578862,-1.275923
14,ST4,Midlands,49.24,2275327,35595,2023-03-27 09:54:11.327,Dispatched,Paypal,DX Freight,345.48,0.0,2023-03-27,30.44,United Kingdom,69.8,0.3766,0.44038461538461543,2536,ST4,52.995,-2.183
15,ST4,Midlands,49.24,2276565,35595,2023-03-28 09:09:46.327,Dispatched,Paypal,DX Freight,305.26,0.0,2023-03-28,28.5,United Kingdom,65.0,0.3334,0.39711538461538465,2536,ST4,52.995,-2.183
16,ST4,Midlands,49.24,2279839,35595,2023-03-30 13:18:49.543,Dispatched,Paypal,DX Freight,102.1,0.0,2023-03-30,20.34,United Kingdom,44.0,0.392,0.4166666666666667,2536,ST4,52.995,-2.183
17,GL54,Midlands,37.69,2276295,36077,2023-03-27 16:42:00.217,Dispatched,Payment Gateway,MFS,953.36,0.0,2023-03-27,76.73,United Kingdom,313.56,2.85272,1.1111111111111112,1029,GL54,51.880284,-1.875728
18,GL54,Midlands,37.69,2288029,36077,2023-04-11 10:50:53.117,Dispatched,Payment Gateway,MFS,529.62,0.0,2023-04-11,76.73,United Kingdom,324.65999999999997,2.94448,2.0,1029,GL54,51.880284,-1.875728
19,LE2,Midlands,24.61,2294238,36383,2023-04-17 16:31:56.103,Dispatched,On Account,MFS,296.27,0.0,2023-04-18,39.15,United Kingdom,138.41,0.37691699999999995,0.22738095238095238,1463,LE2,52.603876,-1.092301
20,CV6,Midlands,4.08,2294801,36564,2023-04-18 10:52:21.877,Dispatched,On Account,DX Express,102.63,0.0,2023-04-18,6.76,United Kingdom,15.33,0.037950000000000005,0.03854166666666667,598,CV6,52.439743,-1.507503
21,TF8,Midlands,42.02,2283373,37107,2023-04-04 08:59:54.100,Dispatched,On Account,DX Freight,221.6,0.0,2023-04-04,18.71,United Kingdom,39.34,0.22717800000000002,0.04285714285714286,2647,TF8,52.63,-2.479
22,NG7,Midlands,41.88,2294297,37120,2023-04-17 17:09:27.863,Dispatched,On Account,DX Express,106.25,0.0,2023-04-18,7.7,United Kingdom,28.7,0.049,0.03333333333333333,1818,NG7,52.952231,-1.18575
23,WS9,Midlands,20.91,2284660,38134,2023-04-04 21:59:41.787,Dispatched,On Account,MFS,923.72,0.0,2023-04-05,34.46,United Kingdom,291.23,1.6880039999999998,1.0861111111111112,2923,WS9,52.603195,-1.913883
24,B69,Midlands,21.22,2291389,38544,2023-04-13 15:18:06.150,Dispatched,On Account,MFS,2098.35,0.0,2023-04-13,67.54,United Kingdom,986.62,2.1200337142857144,1.435515873015873,97,B69,52.501095,-2.030596
25,B45,Midlands,18.63,2282606,38854,2023-04-03 13:53:26.890,Dispatched,Payment Gateway,MFS,179.7,0.0,2023-04-03,34.46,United Kingdom,92.52,1.40414,0.5357142857142857,80,B45,52.383095,-2.002193
26,B45,Midlands,18.63,2286070,38854,2023-04-06 08:53:52.483,Dispatched,Payment Gateway,DX Express,100.96,0.0,2023-04-06,12.09,United Kingdom,36.4,0.23052,0.2857142857142857,80,B45,52.383095,-2.002193
27,OX2,Midlands,44.49,2276467,40870,2023-03-28 00:04:32.770,Dispatched,Paypal,DX Freight,170.45,0.0,2023-03-28,11.79,United Kingdom,21.9,1.13605,0.5111111111111111,1935,OX2,51.765964,-1.30456
28,LE7,Midlands,30.13,2288132,41023,2023-04-11 11:29:20.443,Dispatched,Payment Gateway,MFS,282.5,0.0,2023-04-12,39.15,United Kingdom,132.8,0.9414,0.753968253968254,1473,LE7,52.677164,-1.020786
29,CV2,Midlands,5.63,2278896,41876,2023-03-29 15:53:40.560,Dispatched,On Account,DX Freight,174.48,0.0,2023-03-29,23.45,United Kingdom,51.28,0.5005999999999999,0.28,583,CV2,52.432344,-1.446061
30,CV2,Midlands,5.63,2280836,41876,2023-03-31 12:01:19.233,Dispatched,On Account,DX Freight,198.58,0.0,2023-03-31,26.55,United Kingdom,59.88,0.0868,0.05714285714285714,583,CV2,52.432344,-1.446061
31,CV2,Midlands,5.63,2282560,41876,2023-04-03 13:28:18.607,Dispatched,On Account,DX Express,54.1,7.21,2023-04-03,6.8,United Kingdom,7.3,0.017,0.0125,583,CV2,52.432344,-1.446061
32,CV2,Midlands,5.63,2288801,41876,2023-04-11 15:57:03.337,Dispatched,On Account,DX Express,160.58,0.0,2023-04-11,9.57,United Kingdom,28.56,0.07392,0.044444444444444446,583,CV2,52.432344,-1.446061
33,CV2,Midlands,5.63,2289396,41876,2023-04-12 10:20:18.563,Dispatched,On Account,DX Freight,284.4,0.0,2023-04-12,27.48,United Kingdom,63.0,4.704,2.5,583,CV2,52.432344,-1.446061
34,CV2,Midlands,5.63,2295254,41876,2023-04-18 14:00:53.837,Dispatched,On Account,MFS,732.36,0.0,2023-04-18,34.46,United Kingdom,280.5,0.658002,0.37777777777777777,583,CV2,52.432344,-1.446061
35,CV4,Midlands,0.0,2290019,42780,2023-04-12 14:48:31.177,Dispatched,On Account,DX Express,41.7,7.18,2023-04-12,6.77,United Kingdom,4.6,0.013000000000000001,0.007395061728395062,595,CV4,52.390339,-1.56066
36,CV8,Midlands,2.54,2288294,44475,2023-04-11 12:33:56.093,Dispatched,On Account,MFS,348.87,0.0,2023-04-11,34.46,United Kingdom,148.59,0.419184,0.41666666666666663,600,CV8,52.3605,-1.525645
37,OX29,Midlands,42.38,2284899,46361,2023-04-05 09:54:06.203,Dispatched,On Account,DX Express,13.52,7.2,2023-04-05,6.79,United Kingdom,3.0,0.0042,0.006666666666666667,1941,OX29,51.780433,-1.454309
38,OX29,Midlands,42.38,2292303,46361,2023-04-14 13:52:57.023,Dispatched,On Account,DX Express,27.04,7.18,2023-04-14,6.77,United Kingdom,6.0,0.0084,0.013333333333333334,1941,OX29,51.780433,-1.454309
39,LE65,Midlands,25.5,2298543,46408,2023-04-21 09:54:18.397,Dispatched,On Account,MFS,257.88,0.0,2023-04-21,39.15,United Kingdom,120.0,1.44,0.2,1471,LE65,52.753324,-1.451506
40,B70,Midlands,20.84,2291730,46455,2023-04-14 08:07:22.023,Dispatched,On Account,MFS,435.48,0.0,2023-04-14,34.46,United Kingdom,162.53,1.3763714285714286,0.2640873015873016,99,B70,52.525509,-2.003138
41,CV4,Midlands,0.0,2297699,46694,2023-04-20 12:07:50.250,Dispatched,On Account,DX Express,43.5,7.17,2023-04-20,6.76,United Kingdom,4.5,0.02352,0.016666666666666666,595,CV4,52.390339,-1.56066
